epoch,train_task_bce,validation_task_bce,train_accuracy,validation_accuracy
142,0.225595360994339,0.2247561514377594,0.9875,1.0
143,0.2244463860988617,0.22225171327590942,0.9875,1.0
144,0.2236977070569992,0.22299250960350037,1.0,1.0
145,0.22224853336811065,0.22134998440742493,0.9875,1.0
146,0.22067095041275026,0.2220824509859085,1.0,1.0
147,0.22666026949882506,0.2212182730436325,1.0,1.0
148,0.22253760397434236,0.23773053288459778,1.0,1.0
149,0.2344633013010025,0.23655959963798523,1.0,1.0
150,0.24768443405628204,0.23854826390743256,1.0,1.0
151,0.2374926209449768,0.3162488043308258,1.0,0.9
152,0.23987891972064973,0.23014198243618011,0.9875,1.0
153,0.3308346301317215,0.4394652545452118,0.8125,0.6
154,0.49954724311828613,0.503381609916687,0.425,0.4
155,0.48768669962882993,0.5460588932037354,0.4,0.3
156,0.5344099223613739,0.4113515615463257,0.3375,0.6
157,0.4593205630779266,0.44657087326049805,0.4375,0.4
158,0.45110854506492615,0.43559592962265015,0.3875,0.6
159,0.4261597514152527,0.4422580897808075,0.5875,0.6
160,0.41988909244537354,0.41928157210350037,0.6125,0.6
161,0.4115487217903137,0.40075477957725525,0.6,0.6
162,0.396982479095459,0.3869973421096802,0.6,0.6
163,0.3870943009853363,0.3704001009464264,0.5875,0.6
164,0.37352232336997987,0.3644558787345886,0.6625,0.6
165,0.36321377754211426,0.35577768087387085,0.6125,0.6
166,0.354704487323761,0.3419162929058075,0.6625,0.8
167,0.34815655946731566,0.36194199323654175,0.775,0.8
168,0.33850987553596495,0.313816636800766,0.8,0.8
169,0.3288941740989685,0.2976868152618408,0.8125,0.8
170,0.30776168704032897,0.29556381702423096,0.85,0.9
171,0.3124092221260071,0.3147469460964203,0.9,0.7
172,0.30882269740104673,0.28736406564712524,0.8875,1.0
173,0.2877041518688202,0.2757148742675781,0.9625,1.0
174,0.2812115252017975,0.2737715542316437,0.9875,1.0
175,0.28720754384994507,0.27787232398986816,0.9625,1.0
176,0.2827697336673737,0.26906445622444153,0.975,1.0
