predicted_event,start_seconds,end_seconds,duration_ms,matched_truth_event,iou,onset_error_ms,offset_error_ms
81,182.66056666666665,183.1456,485.03333333333336,77,0.7397377423033067,-52.53333333333333,-99.63333333333334
82,185.05386666666666,185.5277,473.8333333333333,78,0.8000274970784355,11.066666666666666,85.9
83,186.83753333333334,187.2085,370.96666666666664,,,,
84,188.4156,188.98226666666667,566.6666666666666,79,0.8494866298093197,24.2,64.73333333333333
85,190.63973333333334,191.01836666666668,378.6333333333333,80,0.8818990102331824,18.766666666666666,28.166666666666668
86,192.9481,193.93743333333333,989.3333333333334,81,0.33012617771415254,11.9,658.8
87,195.0128,196.0868,1074.0,82,0.374487895716946,-240.83333333333334,430.96666666666664
88,197.65,198.7508,1100.8,83,0.4197886647454371,9.6,634.6666666666666
89,199.76643333333334,200.80156666666667,1035.1333333333334,84,0.42162040316867394,-209.26666666666668,389.43333333333334
90,201.39983333333333,203.20053333333334,1800.7,85,0.23178023361285427,-850.9,532.4333333333333
91,203.7211,203.91666666666666,195.56666666666666,,,,
92,204.49393333333333,205.1881,694.1666666666666,86,0.6913545079048569,7.933333333333334,208.76666666666668
93,206.1355,206.32,184.5,,,,
94,206.66833333333332,207.50833333333333,840.0,87,0.31742063492063494,-429.1333333333333,144.23333333333332
95,209.1427,209.8821,739.4,88,0.6079253448742223,-141.66666666666666,148.23333333333332
96,211.42646666666667,212.1288,702.3333333333334,89,0.6143806359753203,-103.03333333333333,167.8
97,213.9065,214.39543333333333,488.93333333333334,90,0.8128157404945493,12.533333333333333,81.33333333333333
98,216.0979,217.94316666666666,1845.2666666666667,91,0.19428086274793163,-7.7,1479.0666666666666
99,218.25086666666667,218.96663333333333,715.7666666666667,92,0.5090113165370466,-129.53333333333333,221.9
100,220.57596666666666,221.9187,1342.7333333333333,93,0.28816841269053173,-135.76666666666668,820.0333333333333
101,222.3758,222.62346666666667,247.66666666666666,,,,
102,222.99086666666668,224.60463333333334,1613.7666666666667,94,0.27297129878174686,0.5666666666666667,1173.1
103,224.99106666666665,226.40806666666666,1417.0,95,0.2978358033403905,-200.4,794.5666666666667
104,227.4999,228.37066666666666,870.7666666666667,96,0.4514489455317858,8.033333333333333,474.03333333333336
105,229.76603333333333,230.76606666666666,1000.0333333333333,97,0.4772825186412593,5.8,519.9666666666667
106,231.41963333333334,231.60206666666667,182.43333333333334,,,,
107,232.1345,232.212,77.5,98,0.8633494244337171,12.266666666666667,0.0
